filename,split
231870.csv,train
204220.csv,train
230031.csv,train
204585.csv,train
221942.csv,train
231068.csv,train
129160.csv,train
237700.csv,train
218754.csv,train
248130.csv,train
262098.csv,train
258949.csv,train
264340.csv,train
236704.csv,train
206240.csv,train
237208.csv,train
204781.csv,train
212722.csv,train
244782.csv,train
245140.csv,train
222087.csv,train
209923.csv,train
183055.csv,train
209378.csv,train
244445.csv,train
250983.csv,train
210650.csv,train
233281.csv,train
192969.csv,train
257008.csv,train
241827.csv,train
207958.csv,train
240511.csv,train
168907.csv,train
256420.csv,train
236865.csv,train
215064.csv,train
232797.csv,train
141939.csv,train
127186.csv,train
233234.csv,train
218805.csv,train
220163.csv,train
224987.csv,train
134118.csv,train
182982.csv,train
260033.csv,train
221218.csv,train
246830.csv,train
213896.csv,train
246880.csv,train
151035.csv,train
202411.csv,train
192844.csv,train
194716.csv,train
245536.csv,train
259239.csv,train
166283.csv,train
250010.csv,train
149713.csv,train
235507.csv,train
242265.csv,train
134828.csv,train
214606.csv,train
171959.csv,train
222102.csv,train
249092.csv,train
139503.csv,train
181775.csv,train
259641.csv,train
236178.csv,train
258705.csv,train
254598.csv,train
210620.csv,train
264375.csv,train
219368.csv,train
245223.csv,train
257763.csv,train
243853.csv,train
121855.csv,train
152329.csv,train
244254.csv,train
218377.csv,train
155578.csv,train
174437.csv,train
146545.csv,train
224036.csv,train
119150.csv,train
245450.csv,train
244070.csv,train
232498.csv,train
264569.csv,train
264998.csv,train
243499.csv,train
213911.csv,train
229921.csv,train
220793.csv,train
240607.csv,train
257260.csv,train
232770.csv,train
152498.csv,train
202687.csv,train
152973.csv,train
227824.csv,train
184289.csv,train
263912.csv,train
255068.csv,train
264594.csv,train
240128.csv,train
242995.csv,train
231842.csv,train
236019.csv,train
256835.csv,train
147493.csv,train
263297.csv,train
160528.csv,train
235558.csv,train
218716.csv,train
151684.csv,train
230476.csv,train
215133.csv,train
257247.csv,train
244146.csv,train
255998.csv,train
240185.csv,train
205077.csv,train
156642.csv,train
252319.csv,train
229997.csv,train
151463.csv,train
252551.csv,train
210236.csv,train
238536.csv,train
184993.csv,train
171159.csv,train
154543.csv,train
138202.csv,train
149854.csv,train
251308.csv,train
212161.csv,train
186577.csv,train
251985.csv,train
251468.csv,train
190427.csv,train
202922.csv,train
189803.csv,train
132524.csv,train
211623.csv,train
250844.csv,train
190532.csv,train
200727.csv,train
162062.csv,train
245617.csv,train
238268.csv,train
240109.csv,train
203853.csv,train
242974.csv,train
234164.csv,train
168146.csv,train
263874.csv,train
244319.csv,train
221485.csv,train
155066.csv,train
123393.csv,train
172984.csv,train
253466.csv,train
180061.csv,train
190227.csv,train
205813.csv,train
214333.csv,train
250404.csv,train
235112.csv,train
186341.csv,train
224345.csv,train
131004.csv,train
230621.csv,train
250385.csv,train
192473.csv,train
259143.csv,train
163724.csv,train
142679.csv,train
206362.csv,train
207482.csv,train
169383.csv,train
239749.csv,train
250672.csv,train
200975.csv,train
176456.csv,train
259380.csv,train
148775.csv,train
206517.csv,train
211908.csv,train
257495.csv,train
255236.csv,train
209627.csv,train
200384.csv,train
130221.csv,train
200842.csv,train
151114.csv,train
251068.csv,train
164179.csv,train
259930.csv,train
126542.csv,train
93870.csv,train
230121.csv,train
243824.csv,train
208584.csv,train
198740.csv,train
205857.csv,train
230052.csv,train
261375.csv,train
240740.csv,train
124560.csv,train
173207.csv,train
211077.csv,train
194247.csv,train
257001.csv,train
228383.csv,train
247641.csv,train
256267.csv,train
233644.csv,train
262244.csv,train
181733.csv,train
210260.csv,train
228814.csv,train
201186.csv,train
205581.csv,train
157999.csv,train
152822.csv,train
243685.csv,train
199578.csv,train
257045.csv,train
257040.csv,train
225562.csv,train
212216.csv,train
132519.csv,train
256730.csv,train
244962.csv,train
140384.csv,train
222919.csv,train
230367.csv,train
223827.csv,train
256399.csv,train
242786.csv,train
208812.csv,train
254423.csv,train
245840.csv,train
254294.csv,train
240530.csv,train
162603.csv,train
221342.csv,train
262746.csv,train
155555.csv,train
235433.csv,train
241981.csv,train
263890.csv,train
177760.csv,train
194830.csv,train
211448.csv,train
208918.csv,train
116990.csv,train
210162.csv,train
248122.csv,train
248144.csv,train
263483.csv,train
136320.csv,train
213621.csv,train
224772.csv,train
120380.csv,train
142214.csv,train
244854.csv,train
202986.csv,train
233469.csv,train
183226.csv,train
253912.csv,train
236851.csv,train
243182.csv,train
224206.csv,train
115122.csv,train
244824.csv,train
193641.csv,train
241212.csv,train
185423.csv,train
230426.csv,train
205558.csv,train
189241.csv,train
193653.csv,train
134198.csv,train
178844.csv,train
257955.csv,train
230441.csv,train
120711.csv,train
220014.csv,train
260374.csv,train
177628.csv,train
208138.csv,train
104429.csv,train
240557.csv,train
243206.csv,train
254183.csv,train
224608.csv,train
187946.csv,train
192276.csv,train
242457.csv,train
185091.csv,train
263677.csv,train
263600.csv,train
246582.csv,train
176524.csv,train
197839.csv,train
250011.csv,train
263564.csv,train
222389.csv,train
238835.csv,train
163858.csv,train
219086.csv,train
140231.csv,train
214165.csv,train
200734.csv,train
214815.csv,train
259811.csv,train
223645.csv,train
184454.csv,train
241686.csv,train
238797.csv,train
182325.csv,train
107876.csv,train
251811.csv,train
245589.csv,train
111704.csv,train
248888.csv,train
142027.csv,train
252218.csv,train
210145.csv,train
245693.csv,train
122528.csv,train
260505.csv,train
251860.csv,train
245473.csv,train
160587.csv,train
144002.csv,train
140143.csv,train
166979.csv,train
194359.csv,train
261170.csv,train
261708.csv,train
168446.csv,train
229126.csv,train
233697.csv,train
219660.csv,train
219405.csv,train
226063.csv,train
234049.csv,train
240274.csv,train
250039.csv,train
249411.csv,train
166891.csv,train
210618.csv,train
241509.csv,train
160720.csv,train
264326.csv,train
255886.csv,train
212386.csv,train
245752.csv,train
190712.csv,train
225303.csv,train
122536.csv,train
203781.csv,train
175683.csv,train
204654.csv,train
194295.csv,train
244915.csv,train
106066.csv,train
233101.csv,train
203664.csv,train
242534.csv,train
172678.csv,train
217525.csv,train
223571.csv,train
255069.csv,train
261797.csv,train
216565.csv,train
210780.csv,train
246471.csv,train
211532.csv,train
147115.csv,train
242651.csv,train
246130.csv,train
202745.csv,train
243014.csv,train
194692.csv,train
243939.csv,train
147618.csv,train
162303.csv,train
158191.csv,train
238022.csv,train
225716.csv,train
202675.csv,train
135051.csv,train
232795.csv,train
246202.csv,train
143192.csv,train
152497.csv,train
238440.csv,train
259273.csv,train
195656.csv,train
231194.csv,train
135134.csv,train
203740.csv,train
230250.csv,train
99393.csv,train
261456.csv,train
240460.csv,train
218937.csv,train
254369.csv,train
258355.csv,train
251082.csv,train
200822.csv,train
249498.csv,train
109499.csv,train
198180.csv,train
255297.csv,train
205194.csv,train
185950.csv,train
256094.csv,train
129444.csv,train
255742.csv,train
242370.csv,train
228069.csv,train
258824.csv,train
250976.csv,train
179406.csv,train
202595.csv,train
256411.csv,train
240743.csv,train
149373.csv,train
246822.csv,train
248377.csv,train
145194.csv,train
235093.csv,train
137428.csv,train
260970.csv,train
221580.csv,train
257370.csv,train
171386.csv,train
176852.csv,train
133124.csv,train
263415.csv,train
226322.csv,train
226997.csv,train
209333.csv,train
221548.csv,train
130340.csv,train
177382.csv,train
237840.csv,train
143254.csv,train
229058.csv,train
257813.csv,train
260295.csv,train
260381.csv,train
249040.csv,train
248223.csv,train
206226.csv,train
223172.csv,train
175744.csv,train
252783.csv,train
258074.csv,train
256456.csv,train
221760.csv,train
164943.csv,train
178264.csv,train
216632.csv,train
221207.csv,train
248864.csv,train
113680.csv,train
257585.csv,train
198425.csv,train
239156.csv,train
253492.csv,train
240098.csv,train
255320.csv,train
160753.csv,train
157537.csv,train
259953.csv,train
240957.csv,train
213872.csv,train
228438.csv,train
224922.csv,train
237509.csv,train
242640.csv,train
220894.csv,train
212868.csv,train
137999.csv,train
257416.csv,train
141717.csv,train
232546.csv,train
247921.csv,train
254386.csv,train
190565.csv,train
160716.csv,train
229898.csv,train
228640.csv,train
205906.csv,train
204952.csv,train
216316.csv,train
261607.csv,train
176112.csv,train
252546.csv,train
187244.csv,train
249942.csv,train
184950.csv,train
217292.csv,train
172653.csv,train
233477.csv,train
255345.csv,train
139907.csv,train
228198.csv,train
250868.csv,train
221281.csv,train
178537.csv,train
183016.csv,train
216604.csv,train
134974.csv,train
122511.csv,train
252503.csv,train
209137.csv,train
140741.csv,train
152281.csv,train
211054.csv,train
214203.csv,train
157354.csv,train
141696.csv,train
209009.csv,train
227427.csv,train
139020.csv,train
247812.csv,train
102038.csv,train
205187.csv,train
255360.csv,train
153282.csv,train
232295.csv,train
171276.csv,train
209543.csv,train
214699.csv,train
185711.csv,train
227967.csv,train
214098.csv,train
230351.csv,train
161520.csv,train
202077.csv,train
228009.csv,train
220094.csv,train
245323.csv,train
233347.csv,train
236561.csv,train
113456.csv,train
256592.csv,train
238716.csv,train
128081.csv,train
132898.csv,train
129282.csv,train
217838.csv,train
254127.csv,train
105533.csv,train
195592.csv,train
136334.csv,train
236696.csv,train
208939.csv,train
204920.csv,train
145058.csv,train
175953.csv,train
246454.csv,train
95576.csv,train
216337.csv,train
135197.csv,train
168218.csv,train
251752.csv,train
137205.csv,train
246705.csv,train
261705.csv,train
251996.csv,train
185116.csv,train
185046.csv,train
193331.csv,train
258695.csv,train
233031.csv,train
226965.csv,train
138428.csv,train
247485.csv,train
182854.csv,train
261163.csv,train
243326.csv,train
224378.csv,train
164933.csv,train
198687.csv,train
241918.csv,train
257294.csv,train
222219.csv,train
263975.csv,train
247769.csv,train
244920.csv,train
253796.csv,train
202730.csv,train
235687.csv,train
243279.csv,train
248652.csv,train
260357.csv,train
203217.csv,train
220373.csv,train
218734.csv,train
156403.csv,train
252790.csv,train
194379.csv,train
185650.csv,train
202097.csv,train
143541.csv,train
106373.csv,train
230363.csv,train
246799.csv,train
239936.csv,train
265158.csv,train
131909.csv,train
237218.csv,train
243151.csv,train
187379.csv,train
213099.csv,train
242752.csv,train
231798.csv,train
144782.csv,train
256644.csv,train
235336.csv,train
228506.csv,train
218254.csv,train
172322.csv,train
249262.csv,train
243038.csv,train
204990.csv,train
229322.csv,train
147683.csv,train
217317.csv,train
150769.csv,train
209817.csv,train
189874.csv,train
104401.csv,train
209668.csv,train
205407.csv,train
262950.csv,train
235067.csv,train
185242.csv,train
256801.csv,train
211982.csv,train
127335.csv,train
147518.csv,train
157792.csv,train
196540.csv,train
155141.csv,train
193212.csv,train
241152.csv,train
223376.csv,train
263584.csv,train
260485.csv,train
185210.csv,train
141734.csv,train
203995.csv,train
229273.csv,train
131414.csv,train
239489.csv,train
237898.csv,train
122004.csv,train
254827.csv,train
212682.csv,train
228528.csv,train
154417.csv,train
135678.csv,train
133986.csv,train
221482.csv,train
226778.csv,train
170864.csv,train
232275.csv,train
236170.csv,train
261505.csv,train
215207.csv,train
240371.csv,train
143441.csv,train
200325.csv,train
200551.csv,train
250822.csv,train
209258.csv,train
255441.csv,train
249502.csv,train
241747.csv,train
231451.csv,train
149908.csv,train
205217.csv,train
224485.csv,train
199985.csv,train
260733.csv,train
202883.csv,train
262008.csv,train
195644.csv,train
239715.csv,train
246416.csv,train
229460.csv,train
232332.csv,train
263384.csv,train
194026.csv,train
215670.csv,train
144655.csv,train
247559.csv,train
261873.csv,train
196345.csv,train
157865.csv,train
256247.csv,train
200744.csv,train
223940.csv,train
210366.csv,train
158973.csv,train
253117.csv,train
156350.csv,train
147622.csv,train
187448.csv,train
180842.csv,train
251854.csv,train
250195.csv,train
245593.csv,train
224581.csv,train
214527.csv,train
237337.csv,train
120693.csv,train
155767.csv,train
255525.csv,train
233966.csv,train
180211.csv,train
265975.csv,train
242361.csv,train
188983.csv,train
221187.csv,train
165307.csv,train
242552.csv,train
170069.csv,train
210768.csv,train
244843.csv,train
234838.csv,train
204420.csv,train
128285.csv,train
251291.csv,train
174363.csv,train
245892.csv,train
173049.csv,train
210603.csv,train
250216.csv,train
217253.csv,train
207890.csv,train
204018.csv,train
129118.csv,train
230669.csv,train
242553.csv,train
218104.csv,train
218561.csv,train
251121.csv,train
205255.csv,train
260631.csv,train
157391.csv,train
247457.csv,train
171705.csv,train
241153.csv,train
133731.csv,train
226602.csv,train
262813.csv,train
175897.csv,train
159198.csv,train
256209.csv,train
241764.csv,train
178809.csv,train
163494.csv,train
246347.csv,train
129260.csv,train
231439.csv,train
229738.csv,train
208284.csv,train
207228.csv,train
177105.csv,train
242266.csv,train
215334.csv,train
252070.csv,train
235582.csv,train
136038.csv,train
228105.csv,train
249096.csv,train
224231.csv,train
259842.csv,train
216309.csv,train
219358.csv,train
172404.csv,train
145053.csv,train
242301.csv,train
208364.csv,train
130904.csv,train
182281.csv,train
247889.csv,train
252239.csv,train
251142.csv,train
243007.csv,train
196534.csv,train
238502.csv,train
118308.csv,train
232966.csv,train
220028.csv,train
220972.csv,train
135175.csv,train
260345.csv,train
194562.csv,train
259835.csv,train
193153.csv,train
150310.csv,train
263905.csv,train
241612.csv,train
197030.csv,train
163507.csv,train
220813.csv,train
174761.csv,train
237238.csv,train
189265.csv,train
248148.csv,train
120392.csv,train
231925.csv,train
230901.csv,train
198030.csv,train
254302.csv,train
231571.csv,train
122027.csv,train
259087.csv,train
245401.csv,train
261222.csv,train
187012.csv,train
134480.csv,train
177263.csv,train
241847.csv,train
196713.csv,train
193829.csv,train
235714.csv,train
174698.csv,train
211317.csv,train
133193.csv,train
212342.csv,train
207225.csv,train
247155.csv,train
174911.csv,train
252458.csv,train
224156.csv,train
247984.csv,train
190132.csv,train
260212.csv,train
214396.csv,train
200574.csv,train
174934.csv,train
257344.csv,train
228419.csv,train
242224.csv,train
151260.csv,train
232496.csv,train
226261.csv,train
221494.csv,train
193154.csv,train
230722.csv,train
241489.csv,train
225041.csv,train
143787.csv,train
190286.csv,train
242734.csv,train
175439.csv,train
261681.csv,train
246075.csv,train
237188.csv,train
208759.csv,train
208320.csv,train
189286.csv,train
130241.csv,train
190488.csv,train
185718.csv,train
164934.csv,train
246748.csv,train
184610.csv,train
123764.csv,train
204148.csv,train
214330.csv,train
229866.csv,train
208849.csv,train
261583.csv,train
217565.csv,train
145306.csv,train
224482.csv,train
217238.csv,train
258167.csv,train
260929.csv,train
150799.csv,train
144708.csv,train
198457.csv,train
259824.csv,train
253387.csv,train
229042.csv,train
215991.csv,train
242821.csv,train
194330.csv,train
263496.csv,train
229400.csv,train
243734.csv,train
193262.csv,train
259179.csv,train
197197.csv,train
131939.csv,train
257909.csv,train
262879.csv,train
183271.csv,train
217856.csv,train
129109.csv,train
188742.csv,train
151736.csv,train
200702.csv,train
219049.csv,train
251377.csv,train
150584.csv,train
186518.csv,train
230486.csv,train
196766.csv,train
236588.csv,train
223023.csv,train
263218.csv,train
215866.csv,train
104118.csv,train
231257.csv,train
220217.csv,train
239119.csv,train
218274.csv,train
257159.csv,train
191528.csv,train
203721.csv,train
182488.csv,train
173968.csv,train
208996.csv,train
227600.csv,train
223866.csv,train
222498.csv,train
240733.csv,train
262385.csv,train
215843.csv,train
106597.csv,train
262096.csv,train
185940.csv,train
249410.csv,train
232004.csv,train
253577.csv,train
257914.csv,train
245777.csv,train
94339.csv,train
134547.csv,train
167788.csv,train
245500.csv,train
157272.csv,train
232108.csv,train
247677.csv,train
206483.csv,train
240824.csv,train
244821.csv,train
237324.csv,train
